Crypto Name,Price,24H Change,24H Volume,Market Cap
BTC,"$18,435.59",+2.88%,$19.03 B,$350.09 B
ETH,"$1,361.53",+2.10%,$5.55 B,$163.84 B
USDT,$1.02,+0.08%,$24.94 B,$66.01 B
USDC,$1.00,-0.06%,$2.62 B,$45.29 B
BNB,$276.03,+1.49%,$955.19 M,$43.56 B
XRP,$0.3977,+0.54%,$768.49 M,$19.77 B
BUSD,$1.00,-0.03%,$5.67 B,$18.82 B
DOGE,$0.09245,+2.03%,$377.25 M,$12.1 B
ADA,$0.3189,+1.26%,$210.21 M,$10.78 B
MATIC,$0.9483,+0.74%,$249.43 M,$8.11 B
DOT,$5.37,+1.19%,$182.37 M,$6.07 B
DAI,$1.02,-0.05%,$193.34 M,$5.85 B
WTRX,$0.05704,+5.30%,$1.32 M,$5.8 B
LTC,$77.62,-0.66%,$458.73 M,$5.5 B
SOL,$15.58,+7.70%,$285.08 M,$5.41 B
TRX,$0.05694,+5.04%,$246.08 M,$5.24 B
HEX,$0.02865,+0.16%,$2.82 M,$4.97 B
SHIB,$0.000009355,+1.12%,$82.04 M,$5.04 B
UNI,$6.23,+0.95%,$63.14 M,$4.64 B
AVAX,$14.30,+3.39%,$172.43 M,$4.35 B
stETH,"$1,239.48",+0.14%,$17.36 M,$4.32 B
WBTC,"$18,411.23",+2.71%,$67.44 M,$3.61 B
LEO,$3.73,+0.27%,$1.9 M,$3.56 B
LINK,$6.96,+0.10%,$158.73 M,$3.48 B
TON,$2.50,+8.79%,$101.96 M,$3.06 B
ATOM,$10.03,+2.03%,$119.46 M,$2.82 B
XMR,$148.18,-1.58%,$87.08 M,$2.7 B
ETC,$19.71,+1.38%,$88.5 M,$2.68 B
XLM,$0.08583,+0.20%,$40.94 M,$2.19 B
BCH,$111.57,+1.38%,$120.23 M,$2.11 B
ALGO,$0.2293,+1.63%,$35.21 M,$1.6 B
CRO,$0.06397,+2.10%,$15.28 M,$1.59 B
QNT,$129.61,+4.50%,$24.86 M,$1.54 B
APE,$4.15,+0.73%,$168.38 M,$1.47 B
FIL,$4.38,+0.25%,$77.81 M,$1.46 B
NEAR,$1.75,+1.36%,$67.09 M,$1.44 B
OKB,$23.11,+1.65%,$18.88 M,$1.39 B
VET,$0.01969,+0.10%,$29.2 M,$1.38 B
HBAR,$0.04988,-0.03%,$13.9 M,$1.18 B
ICP,$4.23,-1.23%,$17.38 M,$1.15 B
EOS,$1.02,+0.61%,$81.45 M,$1.07 B
EGLD,$44.46,-0.93%,$18.2 M,$1.04 B
WBNB,$271.25,+0.98%,$84 M,$1.04 B
FRAX,$0.9985,+0.18%,$5.29 M,$1.02 B
LUNC,$0.000185,+0.04%,$49.74 M,$1.01 B
FLOW,$0.9763,+1.68%,$17.03 M,$994.11 M
HT,$6.37,+0.63%,$10.78 M,$976.26 M
BTCB,"$18,065.03",+2.18%,$5.03 M,$965.8 M
TWT,$2.28,+1.08%,$78.33 M,$948.74 M
USDP,$1.00,+0.24%,$1.7 M,$945.97 M
